"id_estac","RMSE","BIAS","PBIAS","Pearson","Willmott","Pct_NA"
"21020",2.05526862603703,1.79521393442623,14.4768344255841,0.873250854010203,0.768731480429639,79.9342105263158
"21023",1.45581183555123,-0.724392285336856,-3.82357030336941,0.826402123360557,0.878648944643613,17.5101214574899
"21025",1.60670859302853,-1.46506555714286,-10.1153043289024,0.921402908841487,0.806097128710717,76.9736842105263
"21026",1.41987661908736,-0.653691038147139,-3.8458490522726,0.82687788338257,0.868643969357252,18.2564102564102
"21027",1.42818593677043,-0.81814413362069,-4.67854987121286,0.865795533639814,0.86594350364034,74.5614035087719
"21031",4.62637584125028,3.56947573248408,38.9920696512749,0.559727492119344,0.577391741666699,48.3552631578947
"21033",1.6756644219075,-1.28064309322034,-7.14435263707703,0.848886637149115,0.833829984134147,48.2456140350877
"21038",1.34900394395136,0.52683377443609,4.63717042280364,0.841250325534379,0.895164551975852,70.8333333333333
"21039",1.82548249856874,0.991600620111732,8.69635397397598,0.706726852658755,0.789812656035866,80.3728070175438
"21040",1.51575483228538,-0.734339239010989,-4.28795573513042,0.812495973440401,0.859617045783113,20.1754385964912
"21052",0.824951879875504,0.0313164499274312,0.957139926373791,0.937651253571783,0.959491449089418,24.4517543859649
"21053",2.92513749972789,2.66757243741765,20.4487830679493,0.815468848759329,0.637046157609194,16.7763157894737
"21056",2.13710569378381,1.63652488655462,16.0588549960344,0.709272125595908,0.690558492449767,73.9035087719298
"21060",1.59214298217385,0.0236406678082192,1.59866142147483,0.79120135448961,0.858442633880753,35.9649122807018
"21067",4.92609183960748,-4.54892384382284,-24.7821892055505,0.657120346789707,0.501019873149459,52.9605263157895
"21072",1.90247781985386,-0.252889230769231,-0.537471882876511,0.574384479361241,0.72949030661705,95.7236842105263
"21073",1.66106372981674,0.643528416058394,5.96044409758623,0.606517808970709,0.761091505591402,69.9561403508772
"21077",0.858136192062017,-0.397778528117359,-2.26590998556989,0.94062497433587,0.951160706468885,55.1535087719298
"21079",1.8712999063671,-0.378433221258134,-1.59576986198717,0.505565677075988,0.701034786632169,49.4517543859649
"21080",2.28361177537434,-0.102831856278366,1.76221452055076,0.535026839352367,0.697450570884887,27.5219298245614
"21081",1.95074326860712,1.30168659839357,12.5868877619648,0.810346570903381,0.786679882703892,45.3947368421053
"21082",2.10885600797661,-1.44314105036855,-7.7744797185991,0.78402979863787,0.781527408798786,9.94923857868021
"21093",1.17198722386372,-0.58885472392638,-3.01907033805693,0.890516019287287,0.916132322343637,42.9441624365482
"21095",1.44108066896184,-0.925514720221607,-6.54636973507718,0.779373245919837,0.809899914293887,51.113172541744
"21100",3.79036879866273,-3.60976074074074,-19.227246760946,0.761470155519591,0.430982015937993,88.1578947368421
"21105",1.57427274213169,-1.13667745896657,-7.35404933354115,0.857383529081444,0.849281782091505,60.6029106029106
"21117",1.99186656009413,-1.61277785084746,-10.4403991723661,0.857172874441627,0.793725115399176,35.3070175438596
"21119",2.07158388971583,-1.66011845310016,-10.5531038224831,0.832345561942221,0.786766070451683,31.6950852557673
"21145",1.52296619669435,-1.39053814893617,-9.61067131504612,0.944231661918559,0.849736614601693,84.5394736842105
"21154",2.41201971597997,-0.36317361827957,0.00921356206676205,0.657305124988538,0.720016918942961,59.2105263157895
"21157",1.32760330489893,0.912970476190476,6.72447718653931,0.865992243428247,0.875465083938195,90.7894736842105
"21158",2.10298697415792,0.794051215909091,8.25296929111569,0.344485926019463,0.589820800114754,80.7017543859649
"21159",2.71124741242801,2.5532089516129,20.6965875252416,0.870203486486467,0.641009088616925,86.4035087719298
"21161",1.30393866255007,0.0291312777777778,0.833655299417294,0.741012056135819,0.858951654766059,90.1315789473684
"21170",1.16995811367066,-0.0783876404494384,0.0744641100112925,0.819094437324651,0.897480554081357,90.2412280701754
"21171",1.87219973340625,-1.19760167032967,-7.42015130815855,0.71663835807014,0.767525714526247,90.0219298245614
"21173",1.16500267388678,-0.727470173228346,-4.6664524734819,0.847400992681754,0.872593581913544,86.0745614035088
"21182",1.39396696421593,0.399631343283582,3.16448630191019,0.749964958773799,0.856056663256042,92.6535087719298
"21184",1.07681065947347,0.0288938524590165,0.427399711102599,0.827568620201234,0.905992602415223,93.3114035087719
"21200",1.46457562490418,-0.640345538461538,-4.05851640109706,0.751180413048305,0.834571369649771,92.8728070175438
"21221",0.931920095597195,-0.281500576923077,-1.19949840473284,0.937515760278668,0.941912838678446,77.1929824561403
"21226",1.16023821372105,-0.634216671875,-4.27858891224817,0.867112429747641,0.899848827898372,92.9824561403509
"21244",2.02487364313806,-1.64182272745902,-10.1636039093573,0.877294702533529,0.81062996492974,43.2212028542304
"29007",1.27440044031434,0.238482763719512,3.07656833077353,0.867998940947124,0.907114983574092,28.0701754385965
"30004",3.94908038632996,-3.73880216101695,-20.9423171201181,0.887277741866968,0.622156193416813,74.1228070175438
"30010",4.46409240570451,-4.40833356756757,-21.577063805434,0.959136013329393,0.596314178621597,79.7149122807018
"30015",1.01662258598297,-0.41080251968504,-1.8160021768131,0.927259729680709,0.955406109890972,86.0745614035088
"30017",9.4071217918584,-9.25839640264026,-36.7210448614238,0.788303698842209,0.376946421727212,66.7763157894737
"30026",3.5115423725122,-3.43778275229358,-17.7840030178889,0.960751317075235,0.684317401026676,40.2412280701754
"30030",4.42593310297454,-4.34028820083682,-21.3884170958529,0.928799089169998,0.587117362815339,73.7938596491228
"30032",2.56429590699175,-1.68522547433904,-8.69496891137206,0.614364840715828,0.687780650252457,31.813361611877
"30036",0.760178845692169,0.341745454545454,1.64204402523272,0.963303729190186,0.976690188984229,55.663430420712
"30042",3.92422463071342,-3.68747516118421,-23.6368944785502,0.735710704576221,0.525423672226989,66.6666666666667
"30052",0.858371199921689,0.3651235,2.12857007351804,0.929943190628958,0.948797991814304,78.0701754385965
"30053",3.65528632143752,-3.57797988764045,-14.2012383970333,0.952947535899113,0.680578372897521,60.9649122807018
"30061",4.85487275398871,-4.33035200617284,-20.1539705595593,0.63546732198711,0.552251801543312,64.4736842105263
"30066",3.29409327176799,-3.1290261300813,-16.1095289777372,0.89362513898885,0.67727341488321,23.4227129337539
"30072",3.0663283178905,-2.94909943152455,-14.787907228056,0.920835329603303,0.662200012284718,59.9378881987578
"30075",3.21002860482624,-3.1460777245509,-16.7064169112614,0.961790541608455,0.695729888579036,26.7543859649123
"30085",6.53675113367711,6.3869446728972,66.60425779596,0.735476068237092,0.255872646763992,76.5350877192982
"30087",3.73034367457107,-3.59825222437137,-18.6944223115783,0.913033919984261,0.646759770454254,43.3114035087719
"30100",2.89718407568829,-2.33853944164038,-13.504798746861,0.644349480017114,0.631990764810932,65.2412280701754
"30115",4.9460249703234,-4.87881678972713,-22.4248472256967,0.946179119071789,0.570117437143016,31.6885964912281
"30119",1.54118704543187,-0.857893375796179,-3.63768986876776,0.865449303644185,0.900125782467798,65.5701754385965
"30120",2.64605176163348,-2.43104770916335,-12.6656370421938,0.88955802479216,0.744536113974785,44.9561403508772
"30140",1.09946548353696,0.107437878338279,0.670832972453051,0.893612348210347,0.945016849630292,26.0964912280702
"30151",6.186575894642,-5.9675995,-26.2900250189691,0.805228355138409,0.49573855745674,56.140350877193
"30155",1.08036626003089,-0.554699703389831,-2.30397901860751,0.926529915450207,0.949173706721714,74.1228070175438
"30156",1.78747356185681,-1.61440646551724,-6.6633391657859,0.961445248432271,0.89173332738543,87.280701754386
"30164",2.65596112483261,-2.54170287292818,-13.6205217603111,0.930331573979151,0.727460649639106,80.1535087719298
"30175",6.87597383636241,6.73886149560117,73.8366633571643,0.769208558271183,0.302100586420001,25.219298245614
"30177",3.51353512247019,-3.0399496875,-14.9356166846718,0.752659449970718,0.648274882363753,68.4210526315789
"30178",4.67493630194456,3.27672400543478,42.8421831944883,0.265146453899971,0.542056912375646,79.8245614035088
"30179",4.20748922767181,-3.98450603626943,-20.0785571669736,0.827497299007999,0.592613137203816,15.0460593654043
"30181",2.36664182689566,1.25356732793522,15.5382691549379,0.555999845314667,0.687625047051465,72.9166666666667
"30186",1.80979416694861,0.969446091666667,9.63271939476107,0.744008173510472,0.815137650307894,73.6842105263158
"30187",2.08692181740867,-1.83999153739612,-9.84996816895057,0.90053021237964,0.811532037501324,20.8333333333333
"30195",4.28220990377805,-3.98607788405797,-15.8693878924381,0.791918500407504,0.578951563691959,62.1710526315789
"30198",1.33650160371229,0.652420726470588,6.48104336176875,0.882943890583083,0.903157646751507,25.4385964912281
"30200",1.64515691414648,-1.02718120111732,-5.40696310932387,0.858403661745258,0.875771700517809,60.7456140350877
"30206",2.37930847269313,-1.09649487632509,-5.13785940199897,0.664154350819345,0.759029609084363,68.969298245614
"30209",2.203465635529,1.47816452,10.6303251040963,0.747371568238916,0.77896148762172,72.5877192982456
